product_name,subcategory,parent_category
Chả tôm gói Long Nhi gói 300g,Chả Giò,Thực Phẩm Đông Lạnh
Chả cá thát lát Long Nhi gói 300g,Chả Giò,Thực Phẩm Đông Lạnh
Mực nướng Hải Nam cán duỗi tẩm ớt 60g,Hải Sản Đông Lạnh,Thực Phẩm Đông Lạnh
Giò xào HanoiFoods gói 300g,Chả Giò,Thực Phẩm Đông Lạnh
Chả giò Real thịt gói 400g,Chả Giò,Thực Phẩm Đông Lạnh
Chả giò Real hải sản gói 400g,Chả Giò,Thực Phẩm Đông Lạnh
Bánh xếp Hàn Quốc Bibigo nhân thịt 350g (gói 10 cái),Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Hàu sữa Nhật Minh túi 280g,Hải Sản Đông Lạnh,Thực Phẩm Đông Lạnh
Lẩu Tomyum ba chỉ bò Mỹ Orifood 1.3kg,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Bánh xếp kiểu Hàn Quốc Bibigo nhân hải sản gói 175g,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Bánh xếp Hàn Quốc Bibigo nhân thịt gói 175g,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Mực viên Hoa Doanh gói 200g,Cá - Bò Viên,Thực Phẩm Đông Lạnh
Chả cá chiên Quy Nhơn 200g,Chả Giò,Thực Phẩm Đông Lạnh
Cá viên Hoa Doanh gói 200g,Cá - Bò Viên,Thực Phẩm Đông Lạnh
Bánh xếp Hàn Quốc Bibigo nhân thịt và bắp 175g,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Bánh xếp Hàn Quốc Bibigo nhân hải sản 350g,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Bánh xếp nhân thịt và bắp CJ Foods 350g,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Cá viên biển Quy Nhơn Hoa Doanh gói 300g,Cá - Bò Viên,Thực Phẩm Đông Lạnh
Thịt bò viên khay Hoa Doanh 300g,Cá - Bò Viên,Thực Phẩm Đông Lạnh
Pizza Manna thập cẩm thịt 200g,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Giò tai lưỡi xào Thu Hằng Food gói 250g,Chả Giò,Thực Phẩm Đông Lạnh
Nem chua Vissan cây 200g,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Giò bò đặc biệt Vissan cây 500g,Chả Giò,Thực Phẩm Đông Lạnh
Chả giò rế Cầu Tre tôm cua (hải sản) 500g,Chả Giò,Thực Phẩm Đông Lạnh
Chả lụa quết thượng hạng Cầu Tre gói 500g,Chả Giò,Thực Phẩm Đông Lạnh
Chả ốc Hoa Doanh 200g,Chả Giò,Thực Phẩm Đông Lạnh
Cá viên cốm non Hoa Doanh 500g,Cá - Bò Viên,Thực Phẩm Đông Lạnh
Thịt càng ghẹ đông lạnh Liên Việt Xanh khay 200g,Hải Sản Đông Lạnh,Thực Phẩm Đông Lạnh
Hàu sữa Thái Bình Dương Hasubi gói 330g,Hải Sản Đông Lạnh,Thực Phẩm Đông Lạnh
Thịt bò nướng mỏng Fuji 200g,Thịt Đông Lạnh,Thực Phẩm Đông Lạnh
Thịt bò Bít tết Fuji gói 200g,Thịt Đông Lạnh,Thực Phẩm Đông Lạnh
Cá trứng SG Food khay 200g,Hải Sản Đông Lạnh,Thực Phẩm Đông Lạnh
Tôm viên Kikool gói 200g,Cá - Bò Viên,Thực Phẩm Đông Lạnh
Pizza xúc xích phô mai Kitkool 140g,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Nem chua cây Hà Nội Food 200g,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Pizza phô mai Manna hộp 200g,Thực Phẩm Đông Lạnh Khác,Thực Phẩm Đông Lạnh
Hàu sữa ruột tách vỏ gói 300g,Hải Sản Đông Lạnh,Thực Phẩm Đông Lạnh
Thịt bò Fuji nướng xiên 200g,Thịt Đông Lạnh,Thực Phẩm Đông Lạnh
Cá trứng Home Food 100% có trứng đông lạnh 500g,Hải Sản Đông Lạnh,Thực Phẩm Đông Lạnh
