date,product_name,final_price,is_missing
2026-01-22,Bánh mì mềm thịt xông khói Staff Plus gói 68g,,True
2026-01-26,Bánh mì mềm thịt xông khói Staff Plus gói 68g,,True
2026-01-28,Bánh mì mềm thịt xông khói Staff Plus gói 68g,,True
2026-01-30,Bánh mì mềm thịt xông khói Staff Plus gói 68g,,True
2026-02-03,Bánh mì mềm thịt xông khói Staff Plus gói 68g,,True
2026-02-04,Bánh mì mềm thịt xông khói Staff Plus gói 68g,,True
2026-02-07,Bánh mì mềm thịt xông khói Staff Plus gói 68g,,True
2026-02-08,Bánh mì mềm thịt xông khói Staff Plus gói 68g,,True
2026-02-09,Bánh mì mềm thịt xông khói Staff Plus gói 68g,,True
2026-02-10,Bánh mì mềm thịt xông khói Staff Plus gói 68g,,True
2026-02-12,Bánh mì mềm thịt xông khói Staff Plus gói 68g,,True
2026-02-13,Bánh mì mềm thịt xông khói Staff Plus gói 68g,,True
2026-02-14,Bánh mì mềm thịt xông khói Staff Plus gói 68g,,True
2026-02-20,Bánh mì mềm thịt xông khói Staff Plus gói 68g,,True
2026-02-24,Bánh mì mềm thịt xông khói Staff Plus gói 68g,,True
2026-02-28,Bánh mì mềm thịt xông khói Staff Plus gói 68g,,True
2025-12-20,Bánh mì sandwich Staff gói 275g,,True
2025-12-21,Bánh mì sandwich Staff gói 275g,,True
2025-12-22,Bánh mì sandwich Staff gói 275g,,True
2025-12-24,Bánh mì sandwich Staff gói 275g,,True
2025-12-26,Bánh mì sandwich Staff gói 275g,,True
2025-12-31,Bánh mì sandwich Staff gói 275g,,True
2026-01-01,Bánh mì sandwich Staff gói 275g,,True
2026-01-04,Bánh mì sandwich Staff gói 275g,,True
2026-01-19,Bánh mì sandwich Staff gói 275g,,True
2026-01-22,Bánh mì sandwich Staff gói 275g,,True
2026-01-26,Bánh mì sandwich Staff gói 275g,,True
2026-01-30,Bánh mì sandwich Staff gói 275g,,True
2026-02-03,Bánh mì sandwich Staff gói 275g,,True
2026-02-08,Bánh mì sandwich Staff gói 275g,,True
2026-02-09,Bánh mì sandwich Staff gói 275g,,True
2026-02-10,Bánh mì sandwich Staff gói 275g,,True
2026-02-13,Bánh mì sandwich Staff gói 275g,,True
2026-02-14,Bánh mì sandwich Staff gói 275g,,True
2025-12-20,Bánh mì tươi 6 múi Kinh Đô vị chà bông 90g,,True
2025-12-21,Bánh mì tươi 6 múi Kinh Đô vị chà bông 90g,,True
2025-12-22,Bánh mì tươi 6 múi Kinh Đô vị chà bông 90g,,True
2025-12-24,Bánh mì tươi 6 múi Kinh Đô vị chà bông 90g,,True
2025-12-26,Bánh mì tươi 6 múi Kinh Đô vị chà bông 90g,,True
2025-12-30,Bánh mì tươi 6 múi Kinh Đô vị chà bông 90g,,True
2025-12-31,Bánh mì tươi 6 múi Kinh Đô vị chà bông 90g,,True
2026-01-01,Bánh mì tươi 6 múi Kinh Đô vị chà bông 90g,,True
2026-01-04,Bánh mì tươi 6 múi Kinh Đô vị chà bông 90g,,True
2026-01-19,Bánh mì tươi 6 múi Kinh Đô vị chà bông 90g,,True
2026-01-22,Bánh mì tươi 6 múi Kinh Đô vị chà bông 90g,,True
2026-01-26,Bánh mì tươi 6 múi Kinh Đô vị chà bông 90g,,True
2026-01-28,Bánh mì tươi 6 múi Kinh Đô vị chà bông 90g,,True
2026-01-30,Bánh mì tươi 6 múi Kinh Đô vị chà bông 90g,,True
2026-02-03,Bánh mì tươi 6 múi Kinh Đô vị chà bông 90g,,True
2026-02-07,Bánh mì tươi 6 múi Kinh Đô vị chà bông 90g,,True
2026-02-08,Bánh mì tươi 6 múi Kinh Đô vị chà bông 90g,,True
2026-02-09,Bánh mì tươi 6 múi Kinh Đô vị chà bông 90g,,True
2026-02-10,Bánh mì tươi 6 múi Kinh Đô vị chà bông 90g,,True
2026-02-13,Bánh mì tươi 6 múi Kinh Đô vị chà bông 90g,,True
2026-02-14,Bánh mì tươi 6 múi Kinh Đô vị chà bông 90g,,True
2026-02-20,Bánh mì tươi 6 múi Kinh Đô vị chà bông 90g,,True
2026-02-25,Bánh mì tươi 6 múi Kinh Đô vị chà bông 90g,,True
2025-12-20,Bánh mì tươi Kinh Đô xốt Pizza XX phô mai 70g,,True
2025-12-21,Bánh mì tươi Kinh Đô xốt Pizza XX phô mai 70g,,True
2025-12-22,Bánh mì tươi Kinh Đô xốt Pizza XX phô mai 70g,,True
2025-12-24,Bánh mì tươi Kinh Đô xốt Pizza XX phô mai 70g,,True
2025-12-26,Bánh mì tươi Kinh Đô xốt Pizza XX phô mai 70g,,True
2025-12-31,Bánh mì tươi Kinh Đô xốt Pizza XX phô mai 70g,,True
2026-01-01,Bánh mì tươi Kinh Đô xốt Pizza XX phô mai 70g,,True
2026-01-04,Bánh mì tươi Kinh Đô xốt Pizza XX phô mai 70g,,True
2026-01-19,Bánh mì tươi Kinh Đô xốt Pizza XX phô mai 70g,,True
2026-01-22,Bánh mì tươi Kinh Đô xốt Pizza XX phô mai 70g,,True
2026-01-26,Bánh mì tươi Kinh Đô xốt Pizza XX phô mai 70g,,True
2026-01-30,Bánh mì tươi Kinh Đô xốt Pizza XX phô mai 70g,,True
2026-02-03,Bánh mì tươi Kinh Đô xốt Pizza XX phô mai 70g,,True
2026-02-08,Bánh mì tươi Kinh Đô xốt Pizza XX phô mai 70g,,True
2026-02-09,Bánh mì tươi Kinh Đô xốt Pizza XX phô mai 70g,,True
2026-02-10,Bánh mì tươi Kinh Đô xốt Pizza XX phô mai 70g,,True
2026-02-13,Bánh mì tươi Kinh Đô xốt Pizza XX phô mai 70g,,True
2026-02-14,Bánh mì tươi Kinh Đô xốt Pizza XX phô mai 70g,,True
2025-12-20,Bánh sừng bò Bauli Moonfils Dâu 45g,,True
2025-12-21,Bánh sừng bò Bauli Moonfils Dâu 45g,,True
2025-12-22,Bánh sừng bò Bauli Moonfils Dâu 45g,,True
2025-12-24,Bánh sừng bò Bauli Moonfils Dâu 45g,,True
2026-01-01,Bánh sừng bò Bauli Moonfils Dâu 45g,,True
2026-01-04,Bánh sừng bò Bauli Moonfils Dâu 45g,,True
2026-01-19,Bánh sừng bò Bauli Moonfils Dâu 45g,,True
2026-01-22,Bánh sừng bò Bauli Moonfils Dâu 45g,,True
2026-01-26,Bánh sừng bò Bauli Moonfils Dâu 45g,,True
2026-01-28,Bánh sừng bò Bauli Moonfils Dâu 45g,,True
2026-01-29,Bánh sừng bò Bauli Moonfils Dâu 45g,,True
2026-01-30,Bánh sừng bò Bauli Moonfils Dâu 45g,,True
2026-02-03,Bánh sừng bò Bauli Moonfils Dâu 45g,,True
2026-02-27,Bánh sừng bò Bauli Moonfils Dâu 45g,,True
2025-12-18,Bánh sừng bò Bauli Moonfils Socola 45g,,True
2025-12-19,Bánh sừng bò Bauli Moonfils Socola 45g,,True
2025-12-20,Bánh sừng bò Bauli Moonfils Socola 45g,,True
2025-12-21,Bánh sừng bò Bauli Moonfils Socola 45g,,True
2025-12-22,Bánh sừng bò Bauli Moonfils Socola 45g,,True
