product_name,subcategory,parent_category
Bánh mì tươi Kinh Đô xốt Pizza XX phô mai 70g,Bánh mì,Thực Phẩm Chế Biến
Bánh Dorayaki Marukyo dâu 310g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Bánh Dorayaki Marukyo truyền thống 310g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Bánh mì sandwich Staff gói 275g,Bánh mì,Thực Phẩm Chế Biến
Bóng bì Thiên Nhiên Xanh gói 100g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Chà bông heo sạch Ponnie hộp 100g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Bánh phồng tôm hạt sen Sa Giang 100g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Cánh gà tây hun khói Nguyễn Hồng 500/600g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Seoul's Hotdog Đức Việt nhân phô mai 250g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Bánh bao Phú Mỹ Bakery thập cẩm trứng cút 280g,Bánh bao,Thực Phẩm Chế Biến
Khô bò viên Kiến Lĩnh vị cà ri 200g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
LC Xúc Xích LC Yummy St 200g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Xúc xích Ponnie dinh dưỡng thịt heo 4*70g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Bánh pía Cơm Dừa Sữa Mỹ Ngọc 90g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Xúc xích lắc Heo Cao Bồi thịt nướng phô mai 5*15g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Long nhi Chả cốm ngon 300g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Chân gà bách thảo Hey Yo 40g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Chân gà nhất tâm trắng Hey Yo 40g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Bánh ngon vị dâu Nue 45g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Bánh ngon vị phô mai Nue 38g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Bánh ngon Nue vị sữa tươi 33g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Thanh cơm lứt Nue Ngũ cốc rong biển 15g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Nugget mực vòng chiên giòn KitKool 300g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Mỳ spaghetti bò bằm phô mai LC Food 270g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Bánh bao kim sa Kitkool 240g,Bánh bao,Thực Phẩm Chế Biến
Nem Bùi ABC Kinh bắc 170g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Xúc Xích Hanns xông khói tự nhiên 200g,Xúc xích - Thịt Nguội,Thực Phẩm Chế Biến
Gà xì dầu Ngọc Thơm 500g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Bánh pía chay Bảo Minh gói 300g,Thực Phẩm Chế Biến Khác,Thực Phẩm Chế Biến
Bánh mì chà bông Staff gói 60g,Bánh mì,Thực Phẩm Chế Biến
