brand_name,n_products,n_categories,categories,avg_price,median_price,price_p10,price_p90,avg_promo_rate,avg_discount_depth,avg_price_volatility,price_range_p90_p10,brand_quadrant
Home Food,4,1,Thực Phẩm Đông Lạnh,163345.2298850575,169063.7931034483,116980.0,205135.6091954023,0.14310344827586208,0.11842515401467366,0.027143419774762517,88155.6091954023,niche_professional
Unidry,4,1,Chăm Sóc Bé,289600.0,289600.0,289600.0,289600.0,0.0,,0.0,0.0,prestige_leader
Belcube,4,1,Sữa Tươi,54880.65169893,50139.27958833619,48622.954545454544,64931.446540880504,0.3839045781262762,0.07634508230481038,0.04169699271585036,16308.49199542596,niche_professional
Feddy,4,1,Thực Phẩm Chế Biến,26861.929452869463,26438.771186440677,18431.552185548615,35630.833333333336,0.25107418971156703,0.25365625226257305,0.11575791029424369,17199.28114778472,local_value
Sa Giang,4,1,Thực Phẩm Chế Biến,12936.86933106576,11550.0,10401.42857142857,16581.80555555556,0.2264030612244898,0.05714499925026241,0.01841715983737047,6180.376984126988,local_value
Toppo,4,1,Bánh Kẹo,26975.0,17200.0,17060.0,44710.00000000001,0.0,,0.0,27650.000000000007,local_value
Lot 100,4,1,Bánh Kẹo,75525.0,81900.0,54150.0,91800.0,0.25,0.12087912087912088,0.0,37650.0,niche_professional
Nue,4,1,Thực Phẩm Chế Biến,6625.0,7000.0,5250.0,7700.0,0.0,,0.0,2450.0,local_value
Indomie,4,1,Mì - Thực Phẩm Ăn Liền,176946.73913043478,234000.0,74250.8695652174,234000.0,0.07608695652173914,0.11666666666666667,0.014227270284074254,159749.1304347826,prestige_leader
Ichiban,4,1,Trứng - Đậu Hũ,16800.0,16900.0,14170.0,19350.0,0.0,,0.0,5180.0,local_value
Seaspimex,4,1,Thực Phẩm Khô,37600.0,38000.0,30230.0,44650.0,0.0,,0.0,14420.0,local_value
Mentos,4,1,Bánh Kẹo,36656.25,36800.0,36117.5,37080.0,0.03125,0.21195652173913046,0.018388620420791958,962.5,local_value
M&M,4,1,Bánh Kẹo,31738.391891891893,25379.0,20628.0,47936.2972972973,0.44114864864864867,0.19063202653665487,0.11888944195384864,27308.2972972973,niche_professional
Tasami,4,1,Thực Phẩm Khô,82675.0,90750.0,54490.0,104400.0,0.0,,0.0,49910.0,local_value
Swing,4,1,Bánh Kẹo,15970.126227208977,15346.774193548386,11900.0,20538.934081346426,0.14270687237026647,0.21759259259259262,0.051375211019051056,8638.934081346426,local_value
Nongshim,4,1,Mì - Thực Phẩm Ăn Liền,53695.91346153846,28793.75,25907.307692307695,101406.25000000001,0.23798076923076922,0.20722394220846235,0.05742069844961741,75498.94230769231,prestige_leader
Gullon,4,1,Bánh Kẹo,97700.0,96100.0,73820.0,122860.0,0.0,,0.0,49040.0,niche_professional
Godbawee,4,1,Thực Phẩm Khô,50743.846153846156,51237.69230769231,45692.61538461538,55400.0,0.021955128205128203,0.05427272727272727,0.005611998481342903,9707.384615384617,local_value
Orifood,4,1,Thực Phẩm Đông Lạnh,251369.7916666667,248589.58333333334,201510.0,303453.75,0.07291666666666667,0.12705479452054794,0.015098370962517165,101943.75,niche_professional
Glucerna,4,1,Sữa Tươi,596703.3620689656,687680.0,168917.41379310348,951708.0,0.2260344827586207,0.09453828364446205,0.020547048021183574,782790.5862068965,prestige_leader
Zott,4,1,Sữa Tươi,60578.13938780673,61757.32355173286,53127.343283582086,67085.58816089047,0.47096599327816124,0.16239468092912224,0.0874638089601758,13958.244877308389,niche_professional
Yomost,4,1,Sữa Tươi,28478.946478661594,28655.99078341014,28021.05590062112,28795.201612903227,0.5309473719361517,0.13041534181240064,0.07446112073765637,774.1457122821084,household_giant
Bobby,4,1,Chăm Sóc Bé,242000.0,258000.0,122800.0,348400.0,0.0,,0.0,225600.0,local_value
Danisa,4,1,Bánh Kẹo,167275.9052579365,167008.92857142858,83282.45535714287,251482.9365079365,0.5544394841269841,0.07473093283055374,0.03953589382528509,168200.48115079364,prestige_leader
Anchor,4,1,Sữa Tươi,117460.14736008777,103688.95500725688,71982.05831903945,173955.19028340082,0.4412255238968248,0.1276248103256714,0.06862510406541766,101973.13196436137,niche_professional
Olivoilà,4,2,"Gia Vị, Mì - Thực Phẩm Ăn Liền",165891.83079820237,162404.25908068146,58288.921568627455,276284.797401794,1.0,0.09565904751508876,0.0013802693302786735,217995.87583316653,niche_professional
Ssh,3,1,Gia Vị,31187.878787878788,28600.0,27690.909090909092,35720.0,0.15151515151515152,0.15878378378378377,0.028666255681838945,8029.090909090908,local_value
Staff,3,1,Thực Phẩm Chế Biến,13300.0,12200.0,9400.0,17640.0,0.0,,0.0,8240.0,local_value
Bảo Ngọc,3,1,Thực Phẩm Chế Biến,15620.045977011492,16124.137931034482,12984.827586206897,18053.627586206898,0.1489655172413793,0.30366279069767443,0.09213224181496965,5068.800000000001,local_value
Solse,3,1,Sữa Tươi,87781.81818181818,77000.0,69800.0,110076.36363636363,0.015151515151515152,0.08417508417508418,0.0059348020800848575,40276.36363636363,local_value
Bakalland,3,1,Thực Phẩm Khô,115600.0,115600.0,115600.0,115600.0,0.0,,0.0,0.0,niche_professional
Paysan Breton,3,1,Sữa Tươi,164833.33333333334,174000.0,152000.0,174000.0,0.0,,0.0,22000.0,niche_professional
Arcor,3,1,Bánh Kẹo,156886.11111111112,135650.0,121270.0,200996.6666666667,0.8333333333333334,0.18329247199788812,0.07355567428035063,79726.66666666669,niche_professional
Paldo,3,1,Mì - Thực Phẩm Ăn Liền,39156.237842617156,29019.23076923077,11815.846153846154,70551.4323607427,0.6756410256410256,0.1325765776723631,0.05722612584501228,58735.58620689655,local_value
Phạm Nghĩa,3,1,Thực Phẩm Đông Lạnh,58359.550099726526,57620.68965517241,56262.59946949602,60752.04490777867,0.3280899800546954,0.08337889557135046,0.03620827944384486,4489.445438282652,local_value
Pringles,3,1,Bánh Kẹo,34930.434782608696,34930.434782608696,34930.434782608696,34930.434782608696,0.8695652173913043,0.2671428571428571,0.12168723169101232,0.0,niche_professional
Carrie Junior,3,1,Chăm Sóc Bé,181917.0731707317,181917.07317073172,181917.07317073172,181917.07317073172,0.39024390243902446,0.10253957783641161,0.05284461114204672,0.0,niche_professional
Con Bò Cười,3,1,Sữa Tươi,46289.82716049383,37300.0,36730.4,59445.18518518519,0.41379188712522047,0.08333028120477513,0.0424006217173104,22714.78518518519,local_value
Sahmyook,3,1,Sữa Tươi,56377.333333333336,58000.0,26105.6,86000.0,0.24,0.20657276995305165,0.03706767603832211,59894.4,niche_professional
Oatta,3,1,Thực Phẩm Khô,141683.0303030303,128309.09090909091,97373.81818181818,191341.81818181818,0.2318181818181818,0.2212384357995224,0.05065787687856336,93968.0,niche_professional
Nuvi,3,1,Sữa Tươi,29462.43386243386,29628.571428571428,28245.714285714286,30612.698412698413,0.755026455026455,0.13691694412726754,0.053171856033533055,2366.984126984127,local_value
Calbee,3,1,Thực Phẩm Khô,235000.0,262000.0,197200.0,262000.0,0.0,,0.0,64800.0,niche_professional
Nabati,3,1,Bánh Kẹo,33200.0,40800.0,14400.0,48960.0,0.0,,0.0,34560.0,local_value
Ricola,3,1,Bánh Kẹo,36650.0,36650.0,36650.0,36650.0,0.5,0.20343137254901963,0.1151690398373682,0.0,niche_professional
Bauli,3,1,Thực Phẩm Chế Biến,8937.111054588617,8953.846153846154,8905.25198938992,8962.276080084299,0.5914231152776264,0.2655833728696033,0.15886424025058313,57.024090694378174,local_value
Sunraysia,3,1,Bánh Kẹo,127208.26149425287,131731.0344827586,66981.20689655172,185626.2068965517,0.7589798850574713,0.19491685563114136,0.06937311518716245,118644.99999999999,niche_professional
Probi,3,1,Sữa Tươi,28275.75005402735,27232.786885245903,24300.794665184774,32667.89071038251,0.5607483560248218,0.14119364643834595,0.07659876026258695,8367.096045197737,local_value
Nissin,3,1,Mì - Thực Phẩm Ăn Liền,7500.861937452326,7365.217391304348,7350.938215102975,7705.04347826087,0.6086575133485889,0.0976890756302521,0.051164126411230526,354.105263157895,local_value
Sunmate,3,1,Chăm Sóc Bé,105432.61702482092,85400.0,84104.36781609195,134773.91304347827,0.33100116608362484,0.2167520433221113,0.08139423630940233,50669.54522738632,local_value
Marukyo,3,1,Thực Phẩm Chế Biến,143500.0,143500.0,143500.0,143500.0,0.0,,0.0,0.0,niche_professional
Susu,3,2,"Chăm Sóc Bé, Sữa Tươi",11680.524344569289,5400.0,5400.0,20473.25842696629,0.149812734082397,0.15048076923076922,0.028515724622066987,15073.258426966291,local_value
Le Gourmet,3,1,Thực Phẩm Chế Biến,82962.22222222222,82200.0,68429.33333333333,97800.0,0.6074074074074074,0.13995233063383272,0.016715255698810643,29370.66666666667,niche_professional
Agnesi,3,2,"Gia Vị, Mì - Thực Phẩm Ăn Liền",85951.51515151515,58027.27272727273,57787.27272727273,125285.45454545456,0.45454545454545453,0.14341465785381025,0.05141275978890834,67498.18181818182,niche_professional
Ông Kỳ,3,1,Gia Vị,114658.46153846155,109200.0,102380.30769230769,129120.0,0.3333333333333333,0.15256410256410255,0.0033816264089614016,26739.692307692312,local_value
Kellogg,3,1,Thực Phẩm Khô,115674.88095238095,125657.14285714286,99968.76190476191,127388.09523809524,0.28730158730158734,0.19450556464960087,0.08951277650315241,27419.33333333333,niche_professional
Cái Lân,3,1,Gia Vị,130119.43705536654,98740.0,57570.95081967213,215219.69811320756,0.9644654088050314,0.06637136886534849,0.01610956461164111,157648.74729353545,household_giant
Kidsmix,3,1,Sữa Tươi,55141.37931034483,55141.379310344826,55141.379310344826,55141.379310344826,0.2413793103448276,0.13508771929824562,0.06027705579662354,0.0,local_value
Young Poong,3,1,Mì - Thực Phẩm Ăn Liền,41850.0,42266.666666666664,41253.333333333336,42280.0,0.3703703703703704,0.12385390967470793,0.064373076491363,1026.6666666666642,local_value
Cj Foods,3,1,Thực Phẩm Đông Lạnh,63893.65079365079,65000.0,58280.0,69064.76190476191,0.1626984126984127,0.19612903225806452,0.03635547347230104,10784.761904761908,local_value
Kokomi,3,1,Mì - Thực Phẩm Ăn Liền,46651.851851851854,9900.0,7980.0,100024.44444444445,0.12962962962962962,0.109375,0.019101102157380877,92044.44444444445,local_value
Johnson,3,1,Chăm Sóc Bé,161311.24144672533,157377.27272727274,151715.45454545456,172480.6158357771,0.2550097751710655,0.20788591936879985,0.07318415719499415,20765.161290322547,niche_professional
Vinafood,3,1,Thực Phẩm Khô,115567.84126984126,124544.0,96928.8,130616.41904761906,0.5692063492063492,0.0964428994831285,0.04743533400097696,33687.61904761905,local_value
Biovegi,3,1,Rau - Củ - Trái Cây,39633.333333333336,32000.0,32000.0,50320.0,0.0,,0.0,18320.0,local_value
Latino Bella,3,2,"Gia Vị, Thực Phẩm Khô",104653.15315315315,118000.0,80800.0,123167.56756756756,0.0990990990990991,0.16793893129770993,0.02730262598486949,42367.56756756756,niche_professional
