date,overall_average_index,staples_average_index,other_food_average_index
2026-02-03,0.9911800732489016,1.0,0.9905920781321617
2026-02-04,0.9923494576044178,1.0,0.9918394214447124
2026-02-05,0.9923527665297601,1.0,0.9918429509650776
2026-02-06,0.9918602506087559,1.0,0.9913176006493397
2026-02-07,0.9916971236410203,1.0,0.9911435985504217
2026-02-08,0.9917554546160372,1.0,0.9912058182571063
2026-02-09,0.9931926853430242,1.0,0.9927388643658924
2026-02-10,0.9935908223307408,1.0,0.9931635438194568
2026-02-11,0.9935908223307408,1.0,0.9931635438194568
2026-02-12,0.9937000934033452,1.0,0.993280099630235
2026-02-13,0.9937000934033452,1.0,0.993280099630235
2026-02-14,0.9937000934033452,1.0,0.993280099630235
2026-02-15,0.9928485475666055,1.0,0.992371784071046
2026-02-16,0.9928876243746001,1.0,0.9924134659995735
2026-02-17,0.9928672035853006,1.0,0.9923916838243206
2026-02-18,0.9932529968250505,1.0,0.9928177062976347
2026-02-19,0.9932529968250505,1.0,0.9928177062976347
2026-02-20,0.9932529968250505,1.0,0.9928177062976347
2026-02-21,0.9932529968250505,1.0,0.9928177062976347
2026-02-23,0.9938276662602762,1.0,0.993429451180294
2026-02-25,0.9928516250552472,1.0,0.9923904395749403
2026-02-26,0.9926190111018772,1.0,0.99214281826974
2026-02-28,0.9925719427247969,1.0,0.9920927132231709
2026-03-01,0.992762615041406,1.0,0.9922956869795612
2026-03-02,0.9961663872894538,1.0,0.9959190574371605
2026-03-03,0.9961663872894538,1.0,0.9959190574371605
2026-03-04,0.9963374840329743,1.0,0.996101192680263
2026-03-05,0.9973701347878021,1.0,0.9972004660644346
2026-03-06,0.9969686100105184,1.0,0.9967730364628099
2026-03-07,0.9966628033256062,1.0,0.9964475003143549
2026-03-08,0.9971123243420843,1.0,0.9969260226867351
2026-03-09,0.9971123243420843,1.0,0.9969260226867351
2026-03-10,0.9958438143477384,1.0,0.995575673337915
2026-03-11,0.9961193398049786,1.0,0.9958689746311061
2026-03-12,0.9954775695443896,1.0,0.995185799837576
2026-03-13,0.9942831120668866,1.0,0.9938257610322379
2026-03-14,0.9957303910652169,1.0,0.9954549324242633
2026-03-15,0.9955641422792189,1.0,0.9952779579101364
2026-03-16,0.9955641422792189,1.0,0.9952779579101364
2026-03-17,0.9955641422792189,1.0,0.9952779579101364
2026-03-18,0.9955448131235456,1.0,0.9952573817121614
2026-03-19,0.9955448131235456,1.0,0.9952573817121614
2026-03-20,0.9955448131235456,1.0,0.9952573817121614
2026-03-21,0.995990619061276,1.0,0.9957319493232937
2026-03-22,0.995990619061276,1.0,0.9957319493232937
2026-03-23,0.995990619061276,1.0,0.9957319493232937
2026-03-24,0.9963177293375102,1.0,0.9960801634883175
2026-03-25,0.9964366269618825,1.0,0.9962067319271655
2026-03-26,0.9963988222159532,1.0,0.9961664881653695
2026-03-27,0.9960746373888578,1.0,0.9958213881881393
2026-03-28,0.9960746373888578,1.0,0.9958213881881393
2026-03-29,1.0102794718018955,1.0,1.0128493397523695
