product_name,unit,subcategory,parent_category,avg_final_price,avg_marked_price,days_observed,promo_rate,avg_discount_depth,price_volatility,n_price_changes,max_daily_jump_pct,ever_promoted,always_promoted,marked_price_changes,promo_streak_max,promo_streak_avg,marked_price_increased,brand_name,brand_quadrant,is_premium,is_high_recognition
Lốc 4 sữa tươi tiệt trùng vị tự nhiên TH true MILK Hilo 180ml,Gói 4,Sữa tươi,Sữa Tươi,44400.0,44400.0,48,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,TH True Milk,prestige_leader,1,1
Lốc 4 váng sữa hạt óc chó Hoff 55g,Gói 4,Sữa Chua - Váng Sữa,Sữa Tươi,72504.6875,78800.0,64,0.484375,0.1649336826592435,0.093570902445969,3,0.2409448818897637,1,0,1,17,15.5,0,Hoff,local_value,0,0
Lốc 4 váng sữa non Hoff 55g,Gói 4,Sữa Chua - Váng Sữa,Sữa Tươi,78800.0,78800.0,48,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,Hoff,local_value,0,0
Lốc 5 chai sữa chua uống Probi Pedia+ hương cam 65ml,Gói 5,Sữa Chua - Váng Sữa,Sữa Tươi,27203.225806451614,29700.0,62,0.5806451612903226,0.1447811447811448,0.07863668754668353,2,0.1692913385826771,1,0,1,19,12.0,0,Probi,local_value,0,0
Lốc 6 chai Nuvi sữa chua uống lên men chai 100ml,Gói 6,Sữa Chua - Váng Sữa,Sữa Tươi,27900.0,31100.0,68,1.0,0.10289389067524116,0.0,1,0.0,1,1,1,68,68.0,0,Nuvi,local_value,0,0
Lốc 6 chai sữa chua uống Fristi vị cam 80ml,Gói 6,Sữa Chua - Váng Sữa,Sữa Tươi,23949.15254237288,25500.0,59,0.4067796610169492,0.14950980392156862,0.08346479715133646,3,0.18039215686274512,1,0,1,15,12.0,0,Fristi,local_value,0,0
Lốc 6 chai sữa chua uống Vinamilk Susu hương cam 80ml,Gói 6,Sữa Chua - Váng Sữa,Sữa Tươi,23521.666666666668,26000.0,60,0.6166666666666667,0.15457380457380457,0.09007394742779144,3,0.22065727699530524,1,0,1,21,12.333333333333334,0,Vinamilk,household_giant,0,1
Lốc 6 chai sữa chua uống Vinamilk Susu hương dâu 80ml,Gói 6,Sữa Chua - Váng Sữa,Sữa Tươi,23525.862068965518,26000.0,58,0.603448275862069,0.1576923076923077,0.09161892801987304,3,0.22065727699530524,1,0,1,21,11.666666666666666,0,Vinamilk,household_giant,0,1
Lốc 6 chai sữa chua uống lên Fristi vị dâu 80ml,Gói 6,Sữa Chua - Váng Sữa,Sữa Tươi,24165.384615384617,25500.0,52,0.3076923076923077,0.17009803921568628,0.08518563418596196,3,0.18039215686274512,1,0,1,14,8.0,0,Fristi,local_value,0,0
Lốc 6 chai sữa chua uống đào tiên Fristi 80ml,Gói 6,Sữa Chua - Váng Sữa,Sữa Tươi,24632.65306122449,25500.0,49,0.3469387755102041,0.09803921568627451,0.04881009014673747,2,0.10869565217391308,1,0,1,9,8.5,0,Fristi,local_value,0,0
Lốc 6 hộp sữa tiệt trùng Binggrae hương dâu 200ml,Gói 6,Sữa tươi,Sữa Tươi,99574.13793103448,111000.0,58,0.5517241379310345,0.18657094594594595,0.10577109561030763,3,0.26857142857142846,1,0,1,19,16.0,0,Binggrae,niche_professional,1,0
Lốc 6 hộp sữa tiệt trùng Bringrae Hương dưa lưới 200ml,Gói 6,Sữa tươi,Sữa Tươi,103800.0,111000.0,47,0.3829787234042553,0.16936936936936936,0.08899547029970571,2,0.20390455531453355,1,0,1,9,9.0,0,Binggrae,niche_professional,1,0
Lốc 6 hộp sữa đậu nành Fami canxi cà phê 200ml,Gói 6,Sữa Hạt - Sữa Đậu,Sữa Tươi,25800.0,31200.0,168,1.0,0.17307692307692307,0.0,1,0.0,1,1,1,168,168.0,0,Fami,household_giant,0,1
Lốc 6 hộp sữa đậu nành Vinasoy Fami nguyên chất ít đường 200ml,Gói 6,Sữa Hạt - Sữa Đậu,Sữa Tươi,29459.25925925926,31500.0,27,0.6296296296296297,0.10289449112978524,0.054785622937113684,3,0.12380952380952381,1,0,1,14,8.5,0,Fami,household_giant,0,1
Lốc 6 hộp sữa đậu nành canxi plus Fami 200ml,Gói 6,Sữa Hạt - Sữa Đậu,Sữa Tươi,31900.0,38700.0,87,1.0,0.17571059431524547,0.0,1,0.0,1,1,1,87,87.0,0,Fami,household_giant,0,1
Lốc 6 sữa đậu nành canxi vị socola Fami 200ml,Gói 6,Sữa Hạt - Sữa Đậu,Sữa Tươi,25800.0,31200.0,83,1.0,0.17307692307692307,0.0,1,0.0,1,1,1,83,83.0,0,Fami,household_giant,0,1
Lốc 8 hộp sữa lúa mạch Nestle Milo 180ml,Gói 8,Sữa Hạt - Sữa Đậu,Sữa Tươi,58484.48275862069,60800.0,58,1.0,0.03808416515426498,0.008752650208404567,4,0.027350427350427364,1,1,1,58,58.0,0,Milo,household_giant,0,1
MEADOW FRESH Sữa tươi tách béo 1L,Hộp,Sữa tươi,Sữa Tươi,48523.68421052631,57426.31578947369,38,0.7631578947368421,0.20254233863508947,0.10835446688577806,3,0.21317157712305024,1,0,2,27,14.5,1,Meadow Fresh,niche_professional,1,0
MILO Sữa uống lúa mạch 115ml/110ml,Thùng,Sữa Hạt - Sữa Đậu,Sữa Tươi,252000.0,252000.0,52,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,Milo,household_giant,0,1
"Nước đậu đen, óc chó, hạnh nhân Sahmyook hộp 950ml",Hộp,Sữa Hạt - Sữa Đậu,Sữa Tươi,93000.0,93000.0,37,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,Sahmyook,niche_professional,1,0
Phô Mai Con Bò Cười 16 miếng 224g,Hộp,Bơ Sữa - Phô Mai,Sữa Tươi,64981.48148148148,67600.0,54,0.5185185185185185,0.07470414201183431,0.03919916818900915,3,0.0815999999999999,1,0,1,14,9.333333333333334,0,Con Bò Cười,local_value,0,0
Phô mai Bega Strong & Bitey Vintage 250g,Gói,Bơ Sữa - Phô Mai,Sữa Tươi,132947.54098360657,139000.0,61,0.32786885245901637,0.13280575539568346,0.06649080452577948,3,0.16618705035971226,1,0,1,16,10.0,0,Bega,niche_professional,1,0
Phô mai BegaTasty Grated Cheese 250g,Gói,Bơ Sữa - Phô Mai,Sữa Tươi,136032.75862068965,142000.0,58,0.3275862068965517,0.1282802075611564,0.06402835478865876,3,0.16267605633802817,1,0,1,16,9.5,0,Bega,niche_professional,1,0
Phô mai Belcube ngọt vị Dâu 78g x15C,Gói,Bơ Sữa - Phô Mai,Sữa Tươi,49118.181818181816,51500.0,55,0.3090909090909091,0.14962878355225584,0.07439144490425252,3,0.1839080459770115,1,0,1,16,8.5,0,Belcube,niche_professional,1,0
Phô mai Belcube ngọt vị Socola 78gx15C,Gói,Bơ Sữa - Phô Mai,Sữa Tươi,48410.71428571428,51500.0,56,0.5535714285714286,0.10836204196680238,0.06960845793429603,3,0.1839080459770115,1,0,1,16,10.333333333333334,0,Belcube,niche_professional,1,0
Phô mai Con Bò Cười 8M 112g,Hộp,Bơ Sữa - Phô Mai,Sữa Tươi,36588.0,37800.0,50,0.38,0.08437761069340016,0.04281291219287449,3,0.09565217391304337,1,0,1,12,9.5,0,Con Bò Cười,local_value,0,0
Phô mai Con Bò Cười Light hộp 120g,Hộp,Bơ Sữa - Phô Mai,Sữa Tươi,37300.0,38500.0,35,0.34285714285714286,0.0909090909090909,0.04518978477004756,2,0.10000000000000009,1,0,1,9,6.0,0,Con Bò Cười,local_value,0,0
Phô mai Emmental gói 220g,Gói,Bơ Sữa - Phô Mai,Sữa Tươi,151000.0,151000.0,46,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,,,0,0
Phô mai Emmental sợi gói 70g,Gói,Bơ Sữa - Phô Mai,Sữa Tươi,55000.0,55000.0,51,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,,,0,0
Phô mai Kiwifood Gouda gói 200g,Gói,Bơ Sữa - Phô Mai,Sữa Tươi,118162.16216216216,118162.16216216216,37,0.0,,0.022892882840804176,2,0.11028037383177569,0,0,2,0,0.0,1,Kiwifood,local_value,0,0
Phô mai Mozzarella gói 200g,Gói,Bơ Sữa - Phô Mai,Sữa Tươi,71858.13953488372,73700.0,43,0.2558139534883721,0.09769335142469471,0.04423530096111742,2,0.1082706766917294,1,0,1,11,11.0,0,,,0,0
Phô mai Mozzarella hộp 200g,Gói,Bơ Sữa - Phô Mai,Sữa Tươi,114000.0,114000.0,49,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,,,0,0
Phô mai Mozzarella lát Lactima 200g,Gói,Bơ Sữa - Phô Mai,Sữa Tươi,73108.69565217392,75000.0,46,0.32608695652173914,0.07733333333333334,0.03760107502010245,2,0.07733333333333337,1,0,1,15,15.0,0,Lactima,local_value,0,0
Phô mai Paysan Brie Breton hộp 125g,Hộp,Bơ Sữa - Phô Mai,Sữa Tươi,105011.11111111111,106000.0,36,0.05555555555555555,0.16792452830188678,0.03937802518267364,2,0.20181405895691618,1,0,1,2,2.0,0,,,0,0
