product_name,unit,subcategory,parent_category,avg_final_price,avg_marked_price,days_observed,promo_rate,avg_discount_depth,price_volatility,n_price_changes,max_daily_jump_pct,ever_promoted,always_promoted,marked_price_changes,promo_streak_max,promo_streak_avg,marked_price_increased,brand_name,brand_quadrant,is_premium,is_high_recognition,is_branded,is_house_brand,import_origin,is_import,has_health_claim,has_freshness_claim,name_length,unit_type,pack_count,uncertain_pack_count,size_ml,size_g,ln_pack_size,price_per_100ml,price_per_100g,ln_price_per_unit,marked_price_per_100ml,marked_price_per_100g,ln_marked_price_per_unit
Lốc 4 hộp sữa Nutimilk có đường 100% sữa Newzealand 180ml,Gói 4,Sữa tươi,Sữa Tươi,36100.0,36100.0,48,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,Nutimilk,local_value,0,0,1,0,domestic,0,0,0,11,count,4,False,180.0,,5.19295685089021,5013.888888888889,,8.519967118298963,5013.888888888889,,8.519967118298963
Lốc 4 hộp sữa Ovaltine DHA Plus 180ml,Gói 4,Sữa Hạt - Sữa Đậu,Sữa Tươi,32981.96721311475,34900.0,61,0.4262295081967213,0.1289398280802292,0.0680324500722729,2,0.1480263157894736,1,0,1,14,13.0,0,Ovaltine,prestige_leader,1,1,1,0,domestic,0,1,0,8,count,4,False,180.0,,5.19295685089021,4580.828779599271,,8.429635216982007,4847.222222222222,,8.48616108216851
Lốc 4 hộp sữa TH true vị tự nhiên Milk Gold 180ml,Gói 4,Sữa tươi,Sữa Tươi,72800.0,72800.0,48,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,,,0,0,0,0,domestic,0,0,1,12,count,4,False,180.0,,5.19295685089021,10111.111111111111,,9.221390208162768,10111.111111111111,,9.221390208162768
Lốc 4 hộp sữa chua Fristi vị cam sữa 100ml,Gói 4,Sữa Chua - Váng Sữa,Sữa Tươi,18076.92307692308,19000.0,52,0.4807692307692308,0.1010526315789473,0.0537190359938598,3,0.1176470588235294,1,0,1,15,12.5,0,Fristi,local_value,0,0,1,0,domestic,0,0,0,10,count,4,False,100.0,,4.605170185988092,4519.23076923077,,8.416097074544869,4750.0,,8.465899897028686
Lốc 4 hộp sữa chua lên men tự nhiên vị việt quất sữa Fristi 100ml,Gói 4,Sữa Chua - Váng Sữa,Sữa Tươi,17977.049180327867,19000.0,61,0.5409836065573771,0.0995215311004784,0.0530097650384329,3,0.1176470588235294,1,0,1,18,16.5,0,Fristi,local_value,0,0,1,0,domestic,0,0,1,15,count,4,False,100.0,,4.605170185988092,4494.262295081967,,8.410556816658882,4750.0,,8.465899897028686
Lốc 4 hộp sữa chua uống TH Milk Hương việt quất 100ml,Gói 4,Sữa Chua - Váng Sữa,Sữa Tươi,32300.0,32300.0,57,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,,,0,0,0,0,domestic,0,0,0,12,count,4,False,100.0,,4.605170185988092,8075.0,,8.996528148090857,8075.0,,8.996528148090857
Lốc 4 hộp sữa chua uống TH Milk hương cam 180ml,Gói 4,Sữa Chua - Váng Sữa,Sữa Tươi,36200.0,36200.0,55,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,,,0,0,0,0,domestic,0,0,0,11,count,4,False,180.0,,5.19295685089021,5027.777777777777,,8.522733371791853,5027.777777777777,,8.522733371791853
Lốc 4 hộp sữa chua uống Topkid hương cam 180ml,Gói 4,Sữa Chua - Váng Sữa,Sữa Tươi,32170.37037037037,33400.0,54,0.2592592592592592,0.1420017108639863,0.0666541460102318,3,0.1766467065868263,1,0,1,9,7.0,0,Topkid,local_value,0,0,1,0,domestic,0,0,0,10,count,4,False,180.0,,5.19295685089021,4468.106995884773,,8.40472010705652,4638.888888888889,,8.442230152942782
Lốc 4 hộp sữa chua uống Topkid hương dâu 180ml,Gói 4,Sữa Chua - Váng Sữa,Sữa Tươi,32118.18181818182,33400.0,55,0.2727272727272727,0.1407185628742515,0.0672301918386659,3,0.1766467065868263,1,0,1,10,7.5,0,Topkid,local_value,0,0,1,0,domestic,0,0,0,10,count,4,False,180.0,,5.19295685089021,4460.858585858586,,8.403096534526856,4638.888888888889,,8.442230152942782
Lốc 4 hộp sữa chua uống Vinamilk Susu hương cam 110ml,Gói 4,Sữa Chua - Váng Sữa,Sữa Tươi,19000.0,19000.0,50,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,Vinamilk,household_giant,0,1,1,0,domestic,0,0,0,11,count,4,False,110.0,,4.700480365792417,4318.181818181818,,8.370589717224362,4318.181818181818,,8.370589717224362
Lốc 4 hộp sữa chua uống Vinamilk Susu hương dâu 110ml,Gói 4,Sữa Chua - Váng Sữa,Sữa Tươi,19000.0,19000.0,50,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,Vinamilk,household_giant,0,1,1,0,domestic,0,0,0,11,count,4,False,110.0,,4.700480365792417,4318.181818181818,,8.370589717224362,4318.181818181818,,8.370589717224362
Lốc 4 hộp sữa chua uống cam có thạch NUVI 170ml,Gói 4,Sữa Chua - Váng Sữa,Sữa Tươi,29683.098591549297,33500.0,71,0.7464788732394366,0.1526330611095466,0.0755269303003578,3,0.1837455830388692,1,0,1,30,26.5,0,Nuvi,local_value,0,0,1,0,domestic,0,0,0,11,count,4,False,170.0,,5.135798437050262,4365.161557580779,,8.381410479634772,4926.470588235295,,8.502378105631097
Lốc 4 hộp sữa chua uống dâu có thạch Nuvi,Gói 4,Sữa Chua - Váng Sữa,Sữa Tươi,29756.338028169015,33500.0,71,0.7323943661971831,0.1525832376578645,0.0766440850042099,3,0.1837455830388692,1,0,1,29,26.0,0,,,0,0,0,0,domestic,0,0,0,10,count,4,False,,,,,,,,,
Lốc 4 hộp sữa chua uống lên men Bentagen hương cam 85ml,Gói 4,Sữa Chua - Váng Sữa,Sữa Tươi,24800.0,26200.0,65,0.4923076923076923,0.1085400763358778,0.0583807751434284,3,0.1391304347826087,1,0,1,19,16.0,0,,,0,0,0,0,domestic,0,0,0,12,count,4,False,85.0,,4.442651256490317,7294.117647058823,,8.894823500530958,7705.882352941177,,8.949739258127073
Lốc 4 hộp sữa chua uống lên men Bentagen hương dâu 85ml,Gói 4,Sữa Chua - Váng Sữa,Sữa Tươi,24800.0,26200.0,65,0.4923076923076923,0.1085400763358778,0.0583807751434284,3,0.1391304347826087,1,0,1,19,16.0,0,,,0,0,0,0,domestic,0,0,0,12,count,4,False,85.0,,4.442651256490317,7294.117647058823,,8.894823500530958,7705.882352941177,,8.949739258127073
Lốc 4 hộp sữa chua uống vị cam YoMost 170ml,Gói 4,Sữa Chua - Váng Sữa,Sữa Tươi,27831.428571428572,30600.0,70,0.5285714285714286,0.1711711711711711,0.0952709405864054,4,0.2239999999999999,1,0,1,23,18.5,0,Yomost,household_giant,0,1,1,0,domestic,0,0,0,10,count,4,False,170.0,,5.135798437050262,4092.857142857143,,8.316998573087572,4500.0,,8.411832675758411
Lốc 4 hộp sữa chua ăn Ba Vì hộp 100g,Gói 4,Sữa Chua - Váng Sữa,Sữa Tươi,26408.510638297874,26800.0,47,0.0851063829787234,0.1716417910447761,0.0491304001526867,2,0.1716417910447761,1,0,1,4,4.0,0,Ba Vì,household_giant,0,1,1,0,domestic,0,0,0,10,count,4,False,,100.0,4.605170185988092,,6602.127659574468,8.795147248726414,,6700.0,8.809862805379057
Lốc 4 hộp sữa chua ăn Meiji dâu tây 90g,Gói 4,Sữa Chua - Váng Sữa,Sữa Tươi,40542.857142857145,43500.0,42,0.5476190476190477,0.1241379310344827,0.0670970696699728,2,0.1417322834645669,1,0,1,12,11.5,0,Meiji,prestige_leader,1,1,1,0,domestic,0,0,0,10,count,4,False,,90.0,4.499809670330265,,11261.904761904761,9.329181049190701,,12083.333333333334,9.399582371614711
Lốc 4 hộp sữa chua ăn Meiji nguyên chất 90g,Gói 4,Sữa Chua - Váng Sữa,Sữa Tươi,40993.023255813954,43500.0,43,0.5116279069767442,0.1126436781609195,0.0604572301228595,2,0.1269430051813471,1,0,1,12,11.0,0,Meiji,prestige_leader,1,1,1,0,domestic,0,0,1,10,count,4,False,,90.0,4.499809670330265,,11386.950904392765,9.340223321252418,,12083.333333333334,9.399582371614711
Lốc 4 hộp sữa chua ăn Meiji thạch dừa 90g,Gói 4,Sữa Chua - Váng Sữa,Sữa Tươi,40625.8064516129,43500.0,62,0.4516129032258064,0.1463054187192118,0.0800099710865131,3,0.1983471074380165,1,0,1,15,14.0,0,Meiji,prestige_leader,1,1,1,0,domestic,0,0,0,10,count,4,False,,90.0,4.499809670330265,,11284.946236559139,9.331224925089568,,12083.333333333334,9.399582371614711
