date,parent_category,generic_final,branded_final,gap_abs_final,gap_pct_final,branded_marked,generic_marked,gap_abs_marked,gap_pct_marked
2025-12-25,Gia Vị,92400.0,41600.0,-50800.0,-54.97835497835498,43300.0,92400.0,-49100.0,-53.13852813852814
2025-12-25,Mì - Thực Phẩm Ăn Liền,27200.0,23350.0,-3850.0,-14.154411764705882,29750.0,33900.0,-4150.0,-12.24188790560472
2025-12-25,Rau - Củ - Trái Cây,39000.0,46900.0,7900.0,20.256410256410255,46900.0,39000.0,7900.0,20.256410256410255
2025-12-25,Sữa Tươi,51500.0,36100.0,-15400.0,-29.902912621359224,37800.0,51500.0,-13700.0,-26.601941747572816
2025-12-25,Thực Phẩm Chế Biến,33450.0,40400.0,6950.0,20.777279521674142,41400.0,34500.0,6900.0,20.0
2025-12-25,Thực Phẩm Khô,48050.0,51000.0,2950.0,6.139438085327783,51000.0,50300.0,700.0,1.3916500994035785
2025-12-25,Thực Phẩm Đông Lạnh,72950.0,74500.0,1550.0,2.1247429746401645,76900.0,77600.0,-700.0,-0.902061855670103
2025-12-25,Trứng - Đậu Hũ,21100.0,51900.0,30800.0,145.97156398104266,51900.0,21100.0,30800.0,145.97156398104266
2025-12-26,Chăm Sóc Bé,60900.0,79900.0,19000.0,31.198686371100166,85400.0,129000.0,-43600.0,-33.798449612403104
2025-12-26,Gia Vị,91800.0,41600.0,-50200.0,-54.68409586056645,41600.0,91800.0,-50200.0,-54.68409586056645
2025-12-26,Mì - Thực Phẩm Ăn Liền,27200.0,19500.0,-7700.0,-28.308823529411764,25600.0,33900.0,-8300.0,-24.48377581120944
2025-12-26,Rau - Củ - Trái Cây,47900.0,39900.0,-8000.0,-16.701461377870565,39900.0,47900.0,-8000.0,-16.701461377870565
2025-12-26,Sữa Tươi,26600.0,38100.0,11500.0,43.233082706766915,42900.0,30750.0,12150.0,39.51219512195122
2025-12-26,Thực Phẩm Chế Biến,28600.0,60400.0,31800.0,111.18881118881119,60400.0,34100.0,26300.0,77.12609970674487
2025-12-26,Thực Phẩm Khô,48050.0,51000.0,2950.0,6.139438085327783,51000.0,50300.0,700.0,1.3916500994035785
2025-12-26,Thực Phẩm Đông Lạnh,63000.0,67700.0,4700.0,7.4603174603174605,79600.0,74550.0,5050.0,6.7739771965124085
2025-12-26,Trứng - Đậu Hũ,21100.0,40000.0,18900.0,89.57345971563981,40000.0,21100.0,18900.0,89.57345971563981
2025-12-27,Chăm Sóc Bé,60900.0,79900.0,19000.0,31.198686371100166,85400.0,129000.0,-43600.0,-33.798449612403104
2025-12-27,Gia Vị,82950.0,40450.0,-42500.0,-51.235684147076554,40650.0,85250.0,-44600.0,-52.316715542522
2025-12-27,Mì - Thực Phẩm Ăn Liền,27200.0,23350.0,-3850.0,-14.154411764705882,29750.0,33900.0,-4150.0,-12.24188790560472
2025-12-27,Rau - Củ - Trái Cây,33400.0,46900.0,13500.0,40.41916167664671,46900.0,33400.0,13500.0,40.41916167664671
2025-12-27,Sữa Tươi,51500.0,36100.0,-15400.0,-29.902912621359224,37800.0,51500.0,-13700.0,-26.601941747572816
2025-12-27,Thực Phẩm Chế Biến,33450.0,39500.0,6050.0,18.086696562032888,41300.0,34500.0,6800.0,19.710144927536234
2025-12-27,Thực Phẩm Khô,48050.0,51100.0,3050.0,6.347554630593131,51900.0,50300.0,1600.0,3.180914512922465
2025-12-27,Thực Phẩm Đông Lạnh,72000.0,74000.0,2000.0,2.7777777777777777,75700.0,77500.0,-1800.0,-2.3225806451612905
2025-12-27,Trứng - Đậu Hũ,21100.0,51900.0,30800.0,145.97156398104266,51900.0,21100.0,30800.0,145.97156398104266
2025-12-28,Chăm Sóc Bé,60900.0,79900.0,19000.0,31.198686371100166,85400.0,129000.0,-43600.0,-33.798449612403104
2025-12-28,Gia Vị,91200.0,38500.0,-52700.0,-57.78508771929825,39900.0,91200.0,-51300.0,-56.25
2025-12-28,Mì - Thực Phẩm Ăn Liền,27200.0,23350.0,-3850.0,-14.154411764705882,29750.0,33900.0,-4150.0,-12.24188790560472
2025-12-28,Rau - Củ - Trái Cây,31900.0,47400.0,15500.0,48.589341692789965,47400.0,31900.0,15500.0,48.589341692789965
2025-12-28,Sữa Tươi,34350.0,35100.0,750.0,2.1834061135371177,37050.0,36200.0,850.0,2.3480662983425415
2025-12-28,Thực Phẩm Chế Biến,33450.0,39500.0,6050.0,18.086696562032888,41300.0,34500.0,6800.0,19.710144927536234
2025-12-28,Thực Phẩm Khô,48050.0,51100.0,3050.0,6.347554630593131,51900.0,50300.0,1600.0,3.180914512922465
2025-12-28,Thực Phẩm Đông Lạnh,73000.0,74000.0,1000.0,1.36986301369863,75700.0,77600.0,-1900.0,-2.448453608247423
2025-12-28,Trứng - Đậu Hũ,21100.0,51900.0,30800.0,145.97156398104266,51900.0,21100.0,30800.0,145.97156398104266
2025-12-29,Chăm Sóc Bé,60900.0,62000.0,1100.0,1.8062397372742198,70350.0,129000.0,-58650.0,-45.46511627906977
2025-12-29,Gia Vị,74700.0,38100.0,-36600.0,-48.99598393574297,39800.0,79300.0,-39500.0,-49.810844892812106
2025-12-29,Mì - Thực Phẩm Ăn Liền,27200.0,19500.0,-7700.0,-28.308823529411764,25600.0,33900.0,-8300.0,-24.48377581120944
2025-12-29,Rau - Củ - Trái Cây,32900.0,47400.0,14500.0,44.07294832826747,47400.0,32900.0,14500.0,44.07294832826747
2025-12-29,Sữa Tươi,53500.0,36200.0,-17300.0,-32.33644859813084,37800.0,53500.0,-15700.0,-29.345794392523366
2025-12-29,Thực Phẩm Chế Biến,30850.0,41300.0,10450.0,33.873581847649916,41500.0,33550.0,7950.0,23.69597615499255
2025-12-29,Thực Phẩm Khô,48050.0,51000.0,2950.0,6.139438085327783,51200.0,50300.0,900.0,1.7892644135188867
2025-12-29,Thực Phẩm Đông Lạnh,77500.0,74250.0,-3250.0,-4.193548387096775,76300.0,83800.0,-7500.0,-8.949880668257757
2025-12-29,Trứng - Đậu Hũ,21100.0,51900.0,30800.0,145.97156398104266,51900.0,21100.0,30800.0,145.97156398104266
2025-12-30,Chăm Sóc Bé,281950.0,76800.0,-205150.0,-72.76112785954957,81950.0,321950.0,-240000.0,-74.54573691567013
2025-12-30,Gia Vị,74700.0,38100.0,-36600.0,-48.99598393574297,39800.0,79300.0,-39500.0,-49.810844892812106
2025-12-30,Mì - Thực Phẩm Ăn Liền,27200.0,23350.0,-3850.0,-14.154411764705882,29750.0,33900.0,-4150.0,-12.24188790560472
2025-12-30,Rau - Củ - Trái Cây,22000.0,39900.0,17900.0,81.36363636363636,39900.0,24500.0,15400.0,62.857142857142854
2025-12-30,Sữa Tươi,28300.0,41300.0,13000.0,45.936395759717314,47800.0,33500.0,14300.0,42.68656716417911
2025-12-30,Thực Phẩm Chế Biến,32300.0,46200.0,13900.0,43.034055727554176,46200.0,34500.0,11700.0,33.91304347826087
2025-12-30,Thực Phẩm Đông Lạnh,71900.0,80500.0,8600.0,11.96105702364395,80700.0,83800.0,-3100.0,-3.699284009546539
2025-12-30,Trứng - Đậu Hũ,21100.0,51900.0,30800.0,145.97156398104266,51900.0,21100.0,30800.0,145.97156398104266
