product_name,subcategory,parent_category
Lốc 4 hộp Milo sữa lúa mạch ít đường 115ml,Sữa Hạt - Sữa Đậu,Sữa các loại
MILO Sữa uống lúa mạch 115ml/110ml,Sữa Hạt - Sữa Đậu,Sữa các loại
Sữa thanh trùng Dalat Milk không đường 950ml,Sữa tươi,Sữa các loại
Sữa tươi thanh trùng Dalat Milk không đường hộp 450ml,Sữa tươi,Sữa các loại
Sữa thanh trùng Dalat Milk không đường hộp 180ml,Sữa tươi,Sữa các loại
Sữa tươi thanh trùng sô cô la Dalat Milk có đường hộp 180ml,Sữa tươi,Sữa các loại
Lốc 4 hộp sữa chua uống vị cam YoMost 170ml,Sữa Chua - Váng Sữa,Sữa các loại
Sữa chua uống vị dâu YoMost lốc 4 hộp x 170ml,Sữa Chua - Váng Sữa,Sữa các loại
Thức uống từ sữa chua vị lựu YoMost lốc 4 hộp x 170ml,Sữa Chua - Váng Sữa,Sữa các loại
Sữa uống lên men hương tự nhiên Betagen lốc 4 chai x 85ml,Sữa Chua - Váng Sữa,Sữa các loại
Lốc 4 hộp sữa chua uống lên men Bentagen hương dâu 85ml,Sữa Chua - Váng Sữa,Sữa các loại
Sữa chua uống lên men Bentagen không béo lốc 4 85ml,Sữa Chua - Váng Sữa,Sữa các loại
Lốc 4 hộp sữa chua uống lên men Bentagen hương cam 85ml,Sữa Chua - Váng Sữa,Sữa các loại
Sữa chua uống lên men Bentagen hương dứa lốc 4 85ml,Sữa Chua - Váng Sữa,Sữa các loại
Vỉ 4 hộp váng sữa hương vani Zott Monte 55g,Sữa Chua - Váng Sữa,Sữa các loại
Sữa uống lên men Betagen hương tự nhiên chai 400ml,Sữa Chua - Váng Sữa,Sữa các loại
Sữa tươi tiệt trùng nguyên chất TH True Milk hộp 1 lít,Sữa tươi,Sữa các loại
Sữa tươi tiệt trùng TH True Milk có đường hộp 1L,Sữa tươi,Sữa các loại
Sữa tươi tiệt trùng TH True Milk ít đường hộp 1 lít,Sữa tươi,Sữa các loại
Sữa tiệt trùng Fristi Dutch Lady hương táo lốc 6 hộp x 80ml,Sữa tươi,Sữa các loại
Sữa chua uống men sống hương vanilla tự nhiên TH True Yogurt lốc 4 hộp x 100ml,Sữa Chua - Váng Sữa,Sữa các loại
Lốc 4 hộp sữa chua uống TH Milk Hương việt quất 100ml,Sữa Chua - Váng Sữa,Sữa các loại
Lốc 4 hộp sữa chua uống TH Milk hương cam 180ml,Sữa Chua - Váng Sữa,Sữa các loại
