product_name,subcategory,parent_category
Nước giặt Ariel Downy cửa trên 2.5kg,Nước Giặt,Hóa Phẩm - Tẩy rửa
Nước xả vải hương lavender Good Care 3L,Nước Xả,Hóa Phẩm - Tẩy rửa
Nước xả vải hương hoa hồng Good Care 3L,Nước Xả,Hóa Phẩm - Tẩy rửa
Nước xả vải Good Care hương ngàn hoa 3L,Nước Xả,Hóa Phẩm - Tẩy rửa
Nước giặt Good Care hương ngàn hoa can 3L,Nước Giặt,Hóa Phẩm - Tẩy rửa
Nước giặt hương hoa hồng Good Care can 3L,Nước Giặt,Hóa Phẩm - Tẩy rửa
Bột giặt thông minh Omo gói 800g/770g,Nước Giặt,Hóa Phẩm - Tẩy rửa
"Nước xả vải Downy hương nắng mai túi 2,3L",Nước Xả,Hóa Phẩm - Tẩy rửa
Nước xả vải Downy hương đam mê túi 2L,Nước Xả,Hóa Phẩm - Tẩy rửa
Nước xả vải Downy hương huyền bí túi 2L,Nước Xả,Hóa Phẩm - Tẩy rửa
Viên treo bồn cầu Vim hương lavender 55g,Nước Tẩy Rửa,Hóa Phẩm - Tẩy rửa
Nước giặt Ariel sạch nhanh túi 3.6kg,Nước Giặt,Hóa Phẩm - Tẩy rửa
Nước giặt Ariel hương Downy túi 3.25kg,Nước Giặt,Hóa Phẩm - Tẩy rửa
Nước giặt xả MaxKleen Ultra kép hương hoa nắng túi 2.4kg,Nước Giặt,Hóa Phẩm - Tẩy rửa
"Bột giặt Omo ngất ngây hồng 2,6kg",Nước Giặt,Hóa Phẩm - Tẩy rửa
Nước giặt xả MaxKleen Ultra kép hương nước hoa huyền diệu túi 2.4kg,Nước Giặt,Hóa Phẩm - Tẩy rửa
Nước Xả Vải Comfort Dịu Nhẹ Thơm Hương Phấn túi 3L,Nước Xả,Hóa Phẩm - Tẩy rửa
Nước xả đậm đặc làm mềm vải một lần xả Comfort hương ban mai túi 3.1L,Nước Xả,Hóa Phẩm - Tẩy rửa
Nước rửa chén Sunlight trà xanh chai 750g,Nước Rửa Chén,Hóa Phẩm - Tẩy rửa
Nước rửa chén bát Sunlight thiên nhiên muối khoáng và lô hội chai 750g,Nước Rửa Chén,Hóa Phẩm - Tẩy rửa
Nước xả Comfort nước hoa thiên nhiên sofia túi 3.2L,Nước Xả,Hóa Phẩm - Tẩy rửa
"Nước xả làm mềm vải đậm đặc Comfort Bella túi 3,2L",Nước Xả,Hóa Phẩm - Tẩy rửa
Nước rửa chén Suzy tinh chất muối biển can 2.1kg,Nước Rửa Chén,Hóa Phẩm - Tẩy rửa
Nước lau sàn SUZY hương nhài Nhật 4L,Nước Lau Sàn - Lau Kính,Hóa Phẩm - Tẩy rửa
Bột giặt Omo tinh dầu thơm ngất ngây hồng túi 4kg,Nước Giặt,Hóa Phẩm - Tẩy rửa
Bột giặt Omo tinh dầu thơm nồng nàn túi 4kg,Nước Giặt,Hóa Phẩm - Tẩy rửa
Nước rửa chén chanh Sunlight chai 750g,Nước Rửa Chén,Hóa Phẩm - Tẩy rửa
"Viên tẩy bồn cầu Vim trà xanh, chanh 55g",Nước Tẩy Rửa,Hóa Phẩm - Tẩy rửa
Nước Giặt OMO Matic Chuyên Gia Cửa Trên Sạch Sâu Vượt Trội 4.1KG,Nước Giặt,Hóa Phẩm - Tẩy rửa
"Nước xả vải Downy hương nắng mai dạng túi 1,6L",Nước Xả,Hóa Phẩm - Tẩy rửa
Nước lau kính Gift 800ml,Nước Lau Sàn - Lau Kính,Hóa Phẩm - Tẩy rửa
Nước xả làm mềm vải Comfort hương ban mai túi 1.8l,Nước Xả,Hóa Phẩm - Tẩy rửa
"Nước giặt Suzy Nano bạc hương lavender chai 2,4kg",Nước Giặt,Hóa Phẩm - Tẩy rửa
Nước lau sàn Sunlight tinh dầu thảo mộc hương hoa bạc hà can 3.6kg,Nước Lau Sàn - Lau Kính,Hóa Phẩm - Tẩy rửa
"Nước xả Comfort hương nước hoa quyến rũ túi 3,7L",Nước Xả,Hóa Phẩm - Tẩy rửa
"Nước lau sàn thanh trúc Suzy 2,3L",Nước Lau Sàn - Lau Kính,Hóa Phẩm - Tẩy rửa
Nước giặt hương lavender Good Care can 3L,Nước Giặt,Hóa Phẩm - Tẩy rửa
Bột giặt OMO hệ bọt thông minh túi 3kg,Nước Giặt,Hóa Phẩm - Tẩy rửa
Nước Rửa Chén Sunlight Khử Mùi Tanh Matcha Túi 2kg,Nước Rửa Chén,Hóa Phẩm - Tẩy rửa
Nước giặt quần áo em bé D-nee Lovely Sky​ can 3L,Nước Giặt,Hóa Phẩm - Tẩy rửa
