product_name,subcategory,parent_category
Bánh đa nem 200g dày Thiên Nhiên Xanh,Miến - Hủ Tíu - Bánh Canh,Mì - Thực Phẩm Ăn Liền
Miến dong Bắc Kạn Thiên Nhiên Xanh 500g,Miến - Hủ Tíu - Bánh Canh,Mì - Thực Phẩm Ăn Liền
Thùng 30 gói mì hương vị thịt bằm Đệ Nhất gói 83g,Mì,Mì - Thực Phẩm Ăn Liền
Thùng 30 gói mì lẩu Thái hương vị tôm Vina 80g/81g,Mì,Mì - Thực Phẩm Ăn Liền
Thùng 24 ly mì Hảo Hảo vị tôm chua cay Acecook 67g,Mì,Mì - Thực Phẩm Ăn Liền
Mì ly Handy hương vị Tomyum Hảo Hảo ly 67g,Mì,Mì - Thực Phẩm Ăn Liền
Thùng 24 ly mì Handy Hảo Hảo chay Acecook vị lẩu nấm thập cẩm 66g,Mì,Mì - Thực Phẩm Ăn Liền
Thùng 24 ly mì hương vị lẩu Thái tôm Modern Vina Acecook 67g,Mì,Mì - Thực Phẩm Ăn Liền
Thùng 30 gói mì ăn liền vị gà nấm Micoem 70g,Mì,Mì - Thực Phẩm Ăn Liền
Thùng 24 gói mì vị gà Koreno Paldo 100g,Mì,Mì - Thực Phẩm Ăn Liền
Mì vị bò cay Koreno Paldo gói 100g,Mì,Mì - Thực Phẩm Ăn Liền
Mì vị tôm chua cay Hảo 100 gói 65g,Mì,Mì - Thực Phẩm Ăn Liền
Thùng 30 gói phở thịt gà Vina Acecook gói 60g,Phở - Bún,Mì - Thực Phẩm Ăn Liền
Miến ăn liền Phú Hương vị thịt bằm Acecook gói 58g,Miến - Hủ Tíu - Bánh Canh,Mì - Thực Phẩm Ăn Liền
Phở bò ăn liền Đệ Nhất Vina Acecook gói 65g/68g,Phở - Bún,Mì - Thực Phẩm Ăn Liền
Phở gà Đệ Nhất gói 65g,Phở - Bún,Mì - Thực Phẩm Ăn Liền
Bún bò Huế Hằng Nga gói 73g,Phở - Bún,Mì - Thực Phẩm Ăn Liền
Miến ăn liền Phú Hương vị sườn heo Acecook gói 58g,Miến - Hủ Tíu - Bánh Canh,Mì - Thực Phẩm Ăn Liền
Miến Phú Hương Yến tiệc Vina Acecook gói 210g,Miến - Hủ Tíu - Bánh Canh,Mì - Thực Phẩm Ăn Liền
Bánh đa cua Vifon bát 125g,Miến - Hủ Tíu - Bánh Canh,Mì - Thực Phẩm Ăn Liền
Bún riêu cua ăn liền Vifon thùng 30 gói x 80g,Phở - Bún,Mì - Thực Phẩm Ăn Liền
Phở thịt bò Vifon gói 65g,Phở - Bún,Mì - Thực Phẩm Ăn Liền
Phở thịt bò Hoàng gia gói 120g,Phở - Bún,Mì - Thực Phẩm Ăn Liền
Phở thịt gà Hoàng Gia Vifon thùng 18 gói x 120g,Phở - Bún,Mì - Thực Phẩm Ăn Liền
Phở thịt gà Vifon bát 120g,Phở - Bún,Mì - Thực Phẩm Ăn Liền
Phở thịt bò Vifon bát 120g,Phở - Bún,Mì - Thực Phẩm Ăn Liền
Cháo nấm đông cô ăn liền Vifon gói 70g,Cháo,Mì - Thực Phẩm Ăn Liền
Mì ăn liền Bongoyang​​​​​​​ Hanil Food gói 200g,Mì,Mì - Thực Phẩm Ăn Liền
Mì trộn tương đen Samyang gói 140g,Mì,Mì - Thực Phẩm Ăn Liền
Mì gói ăn liền cay Shin Ramyun Nongshim 114g,Mì,Mì - Thực Phẩm Ăn Liền
Bánh đa Việt San gói 300g,Miến - Hủ Tíu - Bánh Canh,Mì - Thực Phẩm Ăn Liền
Mì ăn liền Koreno vị kim chi Paldo gói 100g,Mì,Mì - Thực Phẩm Ăn Liền
Thùng 30 gói mì xào khô vị tôm xào chua ngọt Hảo Hảo 75g,Mì,Mì - Thực Phẩm Ăn Liền
Thùng 30 gói phở gà ăn liền Vifon 65g,Phở - Bún,Mì - Thực Phẩm Ăn Liền
Thùng 30 gói mì ăn liền vị tôm chua cay Reeva gói 65g,Mì,Mì - Thực Phẩm Ăn Liền
Thùng 30 gói mì tôm chua cay Hảo Hảo Vina Acecook 75g,Mì,Mì - Thực Phẩm Ăn Liền
Thùng 24 ly mì liền khoai tây Cung Đình Micoem vị lẩu tôm chua cay 71g,Mì,Mì - Thực Phẩm Ăn Liền
Mì tôm chanh Omni ly 65g,Mì,Mì - Thực Phẩm Ăn Liền
