product_name,subcategory,parent_category
Sữa tắm Lifebuoy chăm sóc da túi 850g,Chăm Sóc Cá Nhân Khác,Chăm Sóc Cá Nhân
Sữa tắm hoa anh đào Purite chai 850ml,Chăm Sóc Cá Nhân Khác,Chăm Sóc Cá Nhân
Sữa tắm nước hoa Enchanteur Charming 900g,Chăm Sóc Cá Nhân Khác,Chăm Sóc Cá Nhân
Kem đánh răng Sensodyne Multi Care 100g,Chăm Sóc Răng Miệng,Chăm Sóc Cá Nhân
Sữa tắm hoa hồngPurite chai 850ml,Chăm Sóc Cá Nhân Khác,Chăm Sóc Cá Nhân
Sữa Tắm Purité Lavender Shower Gel Hương Hoa Oải Hương 850ml,Chăm Sóc Cá Nhân Khác,Chăm Sóc Cá Nhân
Chỉ nha khoa Oral-B Essential Floss 50m,Chăm Sóc Răng Miệng,Chăm Sóc Cá Nhân
Kem đánh răng Darlie tea Care mint 160g,Chăm Sóc Răng Miệng,Chăm Sóc Cá Nhân
Nước súc miệng P/S Expert Protection Pro Complete chai 500ml,Chăm Sóc Răng Miệng,Chăm Sóc Cá Nhân
Kem đánh răng Sensodyne Gentle Whitening 100g,Chăm Sóc Răng Miệng,Chăm Sóc Cá Nhân
Nước súc miệng Listerine Natural Green Tea 250ml,Chăm Sóc Răng Miệng,Chăm Sóc Cá Nhân
Tăm nha khoa Dr.Polir 80 cây,Chăm Sóc Răng Miệng,Chăm Sóc Cá Nhân
Kem đánh răng Sensodyne Freshmint 100g,Chăm Sóc Răng Miệng,Chăm Sóc Cá Nhân
Nước súc miệng ngừa sâu răng vị Trà xanh Listerine Natural Green Tea chai 750ml,Chăm Sóc Răng Miệng,Chăm Sóc Cá Nhân
Nước súc miệng diệt khuẩn Listerine Cool Mint chai 250ml,Chăm Sóc Răng Miệng,Chăm Sóc Cá Nhân
Dầu tắm gội Romano Classic 650g,Chăm Sóc Cá Nhân Khác,Chăm Sóc Cá Nhân
Nước súc miệng diệt khuẩn Listerine Cool Mint chai 750ml,Chăm Sóc Răng Miệng,Chăm Sóc Cá Nhân
Dụng cụ vệ sinh lưỡi Beauty Formulas,Chăm Sóc Cá Nhân Khác,Chăm Sóc Cá Nhân
Kem đánh răng Darlie double action 225g,Chăm Sóc Răng Miệng,Chăm Sóc Cá Nhân
Bàn chải đánh răng Colgate slimsoft charcoal,Chăm Sóc Răng Miệng,Chăm Sóc Cá Nhân
Bàn chải đánh răng Bizs+ storm,Chăm Sóc Răng Miệng,Chăm Sóc Cá Nhân
Bộ 2 bàn chải đánh răng Colgate slimsoft charcoal,Chăm Sóc Răng Miệng,Chăm Sóc Cá Nhân
